movie_id,name,genres,overview
1,Toy Story (1995),Animation|Children's|Comedy,"A little boy named Andy loves to be in his room  playing with his toys  especially his doll named ""Woody"". But  what do the toys do when Andy is not with them  they come to life. Woody believes that he has life (as a toy) good. However  he must worry about Andy's family moving  and what Woody does not know is about Andy's birthday party. Woody does not realize that Andy's mother gave him an action figure known as Buzz Lightyear  who does not believe that he is a toy  and quickly becomes Andy's new favorite toy. Woody  who is now consumed with jealousy  tries to get rid of Buzz. Then  both Woody and Buzz are now lost. They must find a way to get back to Andy before he moves without them  but they will have to pass through a ruthless toy killer  Sid Phillips. "
2,Jumanji (1995),Adventure|Children's|Fantasy,After being trapped in a jungle board game for 26 years  a Man Child wins his release from the game. But  no sooner has he arrived that he is forced to play again  and this time sets the creatures of the jungle loose on the city. Now it is up to him to stop them. 
3,Grumpier Old Men (1995),Comedy|Romance,"Things don't seem to change much in Wabasha County: Max and John are still fighting after 35 years  Grandpa still drinks  smokes  and chases women   and nobody's been able to catch the fabled ""Catfish Hunter""  a gigantic catfish that actually smiles at fishermen who try to snare it. Six months ago John married the new girl in town (Ariel)  and people begin to suspect that Max might be missing something similar in his life. The only joy Max claims is left in his life is fishing  but that might change with the new owner of the bait shop. "
4,Waiting to Exhale (1995),Comedy|Drama,This story based on the best selling novel by Terry McMillan follows the lives of four African American women as they try to deal with their very lives. Friendship becomes the strongest bond between these women as men  careers  and families take them in different directions. Often light hearted this movie speaks about some of the problems and struggles the modern women face in today's world. 
5,Father of the Bride Part II (1995),Comedy,"In this sequel to ""Father of the Bride""  George Banks must accept the reality of what his daughter's ascension from daughter to wife  and now  to mother means when placed into perspective against his own stage of life. As the comfortable family unit starts to unravel in his mind  a rapid progression into mid life crisis is in his future. His journey to regain his youth acts as a catalyst for a kind of ""rebirth"" of his attitude on life when he and his wife  Nina  find how their lives are about to change as well. "
6,Heat (1995),Action|Crime|Thriller,Hunters and their prey  Neil and his professional criminal crew hunt to score big money targets (banks  vaults  armored cars) and are  in turn  hunted by Lt. Vincent Hanna and his team of cops in the Robbery Homicide police division. A botched job puts Hanna onto their trail while they regroup and try to put together one last big 'retirement' score. Neil and Vincent are similar in many ways  including their troubled personal lives. At a crucial moment in his life  Neil disobeys the dictum taught to him long ago by his criminal mentor  'Never have anything in your life that you can't walk out on in thirty seconds flat  if you spot the heat coming around the corner'  as he falls in love. Thus the stage is set for the suspenseful ending.... 
7,Sabrina (1995),Comedy|Romance,While she was growing up  Sabrina Fairchild spent more time perched in a tree watching the Larrabee family than she ever did on solid ground. As the chauffeur's daughter on their lavish Long Island estate  Sabrina was invisible behind the branches  but she knew them all below... There is Maude Larrabee  the modern matriarch of the Larrabee Corporation; Linus Larrabee  the serious older son who expanded a successful family business into the world's largest communications company; and David  the handsome  fun loving Larrabee  who was the center of Sabrina's world until she was shipped off to Paris. After two years on the staff of Vogue magazine  Sabrina has returned to the Larrabee estate but now she has blossomed into a beautiful and sophisticated woman. And she's standing in the way of a billion dollar deal. 
8,Tom and Huck (1995),Adventure|Children's,A mischievous young boy  Tom Sawyer (Jonathan Taylor Thomas  witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn (Brad Renfro  a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence. 
9,Sudden Death (1995),Action,Some terrorists kidnap the Vice President of the United States and threaten to blow up the entire stadium during the final game of the NHL Stanley Cup. There is only one way and one man to stop them... 
10,GoldenEye (1995),Action|Adventure|Thriller,"When a deadly satellite weapon system falls into the wrong hands  only Agent 007 can save the world from certain disaster. Armed with his license to kill  Bond races to Russia in search of the stolen access codes for ""Goldeneye "" an awesome space weapon that can fire a devastating electromagnetic pulse toward Earth. But 007 is up against an enemy who anticipates his every move: a mastermind motivated by years of simmering hatred. Bond also squares off against Xenia Onatopp  an assassin who uses pleasure as her ultimate weapon. "
11,"American President, The (1995)",Comedy|Drama|Romance,Andrew Shepherd is approaching the end of his first term as President of the United States. He's a widower with a young daughter and has proved to be popular with the public. His election seems assured. That is until he meets Sydney Ellen Wade  a paid political activist working for an environmental lobby group. He's immediately smitten with her and after several amusing attempts  they finally manage to go on a date (which happens to be a State dinner for the visiting President of France). His relationship with Wade opens the door for his prime political opponent  Senator Bob Rumson  to launch an attack on the President's character  something he could not do in the previous election as Shepherd's wife had only recently died. 
12,Dracula: Dead and Loving It (1995),Comedy|Horror,"Another spoof from the mind of Mel Brooks. This time he's out to poke fun at the Dracula myth. Basically  he took ""Bram Stoker's Dracula "" gave it a new cast and a new script and made a big joke out of it. The usual  rich English are attacked by Dracula and Dr. Van Helsing is brought in to save the day. "
13,Balto (1995),Animation|Children's,A half wolf  half husky named Balto gets a chance to become a hero when an outbreak of diphtheria threatens the children of Nome  Alaska in the winter of 1925. He leads a dog team on a 600 mile trip across the Alaskan wilderness to get medical supplies. The film is based on a true story which inspired the Iditarod dog sled race. 
14,Nixon (1995),Drama,Director Oliver Stone's exploration of former president Richard Nixon's strict Quaker upbringing  his nascent political strivings in law school  and his strangely self effacing courtship of his wife  Pat. The contradictions in his character are revealed early  in the vicious campaign against Helen Gahagan Douglas and the oddly masochistic Checkers speech. His defeat at the hands of the hated and envied John F. Kennedy in the 1960 presidential election  followed by the loss of the 1962 California gubernatorial race  seem to signal the end of his career. Yet  although wholly lacking in charisma  Nixon remains a brilliant political operator  seizing the opportunity provided by the backlash against the antiwar movement to take the presidency in 1968. It is only when safely in office  running far ahead in the polls for the 1972 presidential election  that his growing paranoia comes to full flower  triggering the Watergate scandal. 
15,Cutthroat Island (1995),Action|Adventure|Romance,Morgan Adams and her slave  William Shaw  are on a quest to recover the three portions of a treasure map. Unfortunately  the final portion is held by her murderous uncle  Dawg. Her crew is skeptical of her leadership abilities  so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her piratical raids. 
16,Casino (1995),Drama|Thriller,This Martin Scorsese film depicts the Janus like quality of Las Vegas  it has a glittering  glamorous face  as well as a brutal  cruel one. Ace Rothstein and Nicky Santoro  mobsters who move to Las Vegas to make their mark  live and work in this paradoxical world. Seen through their eyes  each as a foil to the other  the details of mob involvement in the casinos of the 1970's and '80's are revealed. Ace is the smooth operator of the Tangiers casino  while Nicky is his boyhood friend and tough strongman  robbing and shaking down the locals. However  they each have a tragic flaw  Ace falls in love with a hustler  Ginger  and Nicky falls into an ever deepening spiral of drugs and violence. 
17,Sense and Sensibility (1995),Drama|Romance,When Mr. Dashwood dies  he must leave the bulk of his estate to the son by his first marriage  which leaves his second wife and their three daughters (Elinor  Marianne  and Margaret) in straitened circumstances. They are taken in by a kindly cousin  but their lack of fortune affects the marriageability of both practical Elinor and romantic Marianne. When Elinor forms an attachment for the wealthy Edward Ferrars  his family disapproves and separates them. And though Mrs. Jennings tries to match the worthy (and rich) Colonel Brandon to her  Marianne finds the dashing and fiery John Willoughby more to her taste. Both relationships are sorely tried. 
18,Four Rooms (1995),Thriller,This movie features the collaborative directorial efforts of four new filmmakers  each of whom directs a segment of this comedy. It's New Year's Eve at the Mon Signor Hotel  a former grand old Hollywood hotel  now fallen upon hard times. Often using physical comedy and sight gags  this movie chronicles the slapstick misadventures of Ted  the Bellhop. He's on his first night on the job  when he's asked to help out a coven of witches in the Honeymoon Suite. Things only get worse when he delivers ice to the wrong room and ends up in a domestic argument at a really bad time. Next  he foolishly agrees to watch a gangster's kids for him while he's away. Finally  he finishes off the night refereeing a ghastly wager. 
19,Ace Ventura: When Nature Calls (1995),Comedy,Ace Ventura  emerging from self imposed exile in a remote Himalayan hideaway  travels to Africa with explorer Fulton Greenwall to find a sacred bat which is told will avert a war between with Wachootoo and Wachati tribes. Of course  when Ace gets involved  all hell breaks loose... 
20,Money Train (1995),Action,"Two foster brothers work as transit cops. While one's life is as good as it gets  the other's is a pit. After losing his job  getting dumped by his brother  and getting the crap kicked out of him by a loan shark for the umpteenth time  He implements his plan to steal the ""money train "" a train carrying the New York Subway's weekly revenue. But when things go awry  will his brother be able to save him in time  "
21,Get Shorty (1995),Action|Comedy|Drama,Some guys get all the luck  whether they like it or not. Chili Palmer happens to be in Hollywood collecting a gambling debt when he's struck by lightning (not literally). Called a natural for the movie business  he's snagged up by a producer. The rest is history. 
22,Copycat (1995),Crime|Drama|Thriller,In San Francisco  the criminal psychologist Helen Hudson is specialized in serial killers. During a trial  the accused Daryll Lee Cullum kills a police officer and tries to kill her and she becomes agoraphobic. Now Helen lives a reclusive life with her gay friend Andy that helps her. Sometime later  there is a wave of crimes and Detectives M.J. Monahan and Reuben Goetz are investigating the murder cases. Helen identifies that the murderer is copycatting notorious serial killers and she anonymously contacts the Police Department. After fourteen phone calls  she is identified by the police. Detectives M.J. and Reuben visit her and Helen teams up with them and prepares the profile of the killer that wants to be famous. But soon the copycat killer Peter Foley contacts and stalks Helen and M.J. and Reuben give protection to her. Will they be capable to stop Foley before the next murder  
23,Assassins (1995),Thriller,Robert Rath is a seasoned hitman who just wants out of the business with no back talk. But  as things go  it ain't so easy. A younger  peppier assassin named Bain is having a field day trying to kill said older assassin. Rath teams up with a computer hacker named Electra to defeat the obsessed Bain. 
24,Powder (1995),Drama|Sci-Fi,When sheriff Barnum investigates the death of an elderly rural resident  he discovers a teenage grandson living in the basement. Raised by his grandparents  he has experienced the world only through books  never leaving the family farm. He is sent to a state home for boys where he has trouble fitting in socially. His odd appearance and unusual abilities cause the small town residents to fear and ridicule him. However  not all are afraid. Some begin to view his potential and gifts with wonderment. 
25,Leaving Las Vegas (1995),Drama|Romance,Because his wife left him and took his son with her  screenwriter Ben Sanderson has started drinking  a lot. He's getting more and more isolated and he troubles women in bars because he wants to have sex with them. When he gets fired  he decides to leave everything behind and move to Las Vegas and drink himself to death. In Las Vegas he meets Sera  a prostitute with some problems as well who he moves in with. 
26,Othello (1995),Drama,Iago convinces Othello  The Moor of Venice that his wife  Desdemona has been unfaithful. Iago is an evil  manipulative character with his own agenda. A plot of jealousy and rage transpires in this classic Shakespearean tale. 
27,Now and Then (1995),Drama,Roberta  Teeny  Samantha and Chrissy have been busy growing up  but they always remembered the promise they made to be there for each other. Now they're together again to relive the greatest summer of their lives. 
28,Persuasion (1995),Romance,Eight years earlier  Anne Elliot  the daughter of a financially troubled aristocratic family  was persuaded to break off her engagement to Frederick Wentworth  a young seaman  who  though ... 
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,Set in a dystopian society  someone is kidnapping the children. Krank and his band of clones are using the children to harvest their dreams. Then they kidnap Denree  the brother of One  a fairground strongman. One sets out to find his brother. 
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,Uncle Liu brings his cousin to Shanghai to work for 'Boss ' the leader of a powerful drug empire in the 1930's. Shuisheng  a simple country boy is awed and overwhelmed by the opulence and immense wealth he is suddenly surrounded by. He is to be the attendant of Xiao Jingbao  the new mistress of 'Boss.' While he fumbles with the demands of his new role  much intrigue is going on around him  well beyond his bewildered perception. Xiao Jingbao is having a tumultuous affair  Fat Yu is starting a gang war  and 'Boss' is beginning to suspect that one of his trusted men is not loyal. 
31,Dangerous Minds (1995),Drama,Louanne Johnson is an ex marine  hired as a teacher in a high school in a poor area of the city. She has recently separated from her husband. Her friend  also teacher in the school  got the temporary job for her. After a terrible reception from the students  she tries unconventional methods of teaching (using karate  Bob Dylan lyrics etc) to gain the trust of the students. 
32,Twelve Monkeys (1995),Drama|Sci-Fi,"An unknown and lethal virus has wiped out five billion people in 1996. Only 1% of the population has survived by the year 2035  and is forced to live underground. A convict (James Cole) reluctantly volunteers to be sent back in time to 1996 to gather information about the origin of the epidemic (who he's told was spread by a mysterious ""Army of the Twelve Monkeys"") and locate the virus before it mutates so that scientists can study it. Unfortunately Cole is mistakenly sent to 1990  six years earlier than expected  and is arrested and locked up in a mental institution  where he meets Dr. Kathryn Railly  a psychiatrist  and Jeffrey Goines  the insane son of a famous scientist and virus expert. "
33,Wings of Courage (1995),Adventure|Romance,In 1920's South America a small group of French pilots struggle to prove they can offer a reliable airmail service over the Andes. When one of the young pilots crashes on such a flight he has to try and get back to civilization on foot. Back home  his wife and colleagues start to fear the worst. 
34,Babe (1995),Children's|Comedy|Drama,Gentle farmer Arthur Hoggett wins a piglet named Babe at a county fair. Narrowly escaping his fate as Christmas dinner when Farmer Hoggett decides to show him at the next fair  Babe bonds with motherly border collie Fly and discovers that he too can herd sheep. But will the other farm animals  including Fly's jealous husband Rex  accept a pig who doesn't conform to the farm's social hierarchy  
35,Carrington (1995),Drama|Romance,The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality  the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge  Strachey was able to welcome him as a friend  although Partridge remained somewhat uneasy  not so much with Strachey's sexual orientation as with the fact that he was a conscientious objector. 
36,Dead Man Walking (1995),Drama,A convicted murderer on Death Row and the nun who befriends him. Through the portrayal of finely drawn characters and their interactions as the days  hours  and minutes tick down to the condemned man's execution  powerful emotions are unleashed. While Matthew Poncelet and Sister Prejean desperately try to gain a stay of execution from the governor or the courts  scenes are intercut from the brutal crime  gradually revealing the truth about the events that transpired. In addition to her temporal help  the nun also tries to reach out spiritually and assist as a guide to salvation. 
37,Across the Sea of Time (1995),Documentary,A young Russian boy  Thomas Minton  travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors  who had emigrated decades ago  but once sent a letter home together with a sample of his new profession: 3D Photography. The boy follows his relative's traces by counter checking the old 3D Photographs of New York (using an antique viewer) with the same places and how they look today. This way  the audience gets to see the Big Apple in former times as well as today. 
38,It Takes Two (1995),Comedy,Alyssa (a rich girl) and Amanda (an orphan) are two little girls who are identical  but complete strangers  that accidentally meet one day. In an attempt to stop Alyssa's father from getting married to Clarice  a conceited know it all  the girls get him to meet Amanda's case worker and switch lives to stop the wedding once and for all. Though things don't go exactly as planned when Alyssa gets adopted and Clarice moves up the wedding... 
39,Clueless (1995),Comedy|Romance,Cher  a high school student in Beverly Hills  must survive the ups and downs of adolescent life. Her external demeanor at first seems superficial  but rather it hides her wit  charm  and intelligence which help her to deal with relationships  friends  family  school  and the all important teenage social life. 
40,"Cry, the Beloved Country (1995)",Drama,South African church minister Steven Kumalo is summoned from his village to Johannesburg. There he finds that his son Absolom has been jailed in connection with a robbery in which a white man was killed. The father of the white man  James Jarvis  is a supporter of apartheid  the separation of the races which is the law of South Africa. When they encounter each other  both Kumalo and Jarvis come to unexpected realizations not only about their sons  but about the nature of their own humanity. 
41,Richard III (1995),Drama|War,William Shakespeare's classic play is brought into the present with the setting as Great Britian in the 1930s. Civil war has erupted with the House of Lancaster on one side  claiming the right to the British throne and hoping to bring freedom to the country. Opposing is the House of York  commanded by the infamous Richard who rules over a fascist government and hopes to install himself as a dictator monarch. 
